"species_name","ecomorphology","depth_preference","piscivore","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","individual","caudal_intervertebral_distance","log_caudal_intervertebral_distance","ln_standard_length"
"alticorpus macrocleithrum","deep benthic","pelagic","non-piscivore",2.484907,2.926417,3.423057,-0.4415099,0.8887433,-0.1580752,0.4896372,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.41778960001515,0.882853734351716,4.798819013
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.07304442658968,1.12266874011826,4.333534676
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.64136633683848,0.971296335107225,4.065073652
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.47752611041894,0.907260526185216,4.196287244
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.517894138573,1.25786255449621,4.072209717
"astatotilapia gigliolii","astatotilapia","benthopelagic","non-piscivore",2.564949,2.772589,3.367296,-0.2076394,1.04275,-0.1888386,0.7082013,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.3813464419106,0.867666059612634,4.146041608
"astatotilapia sp ruaha blue","astatotilapia","benthopelagic","non-piscivore",NA,NA,NA,NA,NA,NA,NA,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",NA,NA,4.374720006
"chindongo elongatus","mbuna","demersal","non-piscivore",2.70805,2.833213,3.465736,-0.1251631,1.1416424,-0.1284728,0.8183028,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.24679746930062,1.17766911646039,4.087838443
"copadichromis likomae","utaka","benthopelagic","non-piscivore",2.770632,2.888826,3.526361,-0.1181944,0.9094331,-0.3508948,0.5808135,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.47463482567129,1.24548938735706,4.579099274
"copadichromis quadrimaculatus","utaka","benthopelagic","non-piscivore",2.716118,2.882841,3.496393,-0.166723,0.9647508,-0.3529342,0.6448967,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.39754415242437,0.874444943632732,4.902366108
