"species_name","ecomorphology","depth_preference","piscivore","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","individual","precaudal_intervertebral_distance","log_precaudal_intervertebral_distance","ln_standard_length"
"alticorpus macrocleithrum","deep benthic","pelagic","non-piscivore",2.484907,2.926417,3.423057,-0.4415099,0.8887433,-0.1580752,0.4896372,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.82924032674374,0.603900758668384,4.798819013
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.78374199156578,1.02379606273421,4.333534676
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.62008412285026,0.963206425215671,4.065073652
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",0.989203216960965,-0.0108554912566975,4.196287244
"astatotilapia calliptera","astatotilapia","benthopelagic","non-piscivore",2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.59414514229289,0.953257037410236,4.072209717
"astatotilapia gigliolii","astatotilapia","benthopelagic","non-piscivore",2.564949,2.772589,3.367296,-0.2076394,1.04275,-0.1888386,0.7082013,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.23720608352123,0.805227803218362,4.146041608
"astatotilapia sp ruaha blue","astatotilapia","benthopelagic","non-piscivore",NA,NA,NA,NA,NA,NA,NA,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",NA,NA,4.374720006
"chindongo elongatus","mbuna","demersal","non-piscivore",2.70805,2.833213,3.465736,-0.1251631,1.1416424,-0.1284728,0.8183028,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.26420197022684,1.18301531332071,4.087838443
"copadichromis likomae","utaka","benthopelagic","non-piscivore",2.770632,2.888826,3.526361,-0.1181944,0.9094331,-0.3508948,0.5808135,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.28236247028228,1.18856342845943,4.579099274
"copadichromis quadrimaculatus","utaka","benthopelagic","non-piscivore",2.716118,2.882841,3.496393,-0.166723,0.9647508,-0.3529342,0.6448967,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.12253515647714,0.752611202777444,4.902366108
"copadichromis trimaculatus","utaka","benthopelagic","non-piscivore",2.679562,2.87894,3.478045,-0.1993779,0.9885663,-0.2385234,0.639701,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.13122638905255,1.14142474540027,4.445618614
"copadichromis virginalis","utaka","benthopelagic","non-piscivore",2.662055,2.833213,3.44457,-0.1711584,1.0401399,-0.27062,0.6633088,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.89816022434368,1.06407613027344,4.395062547
"dimidiochromis compressiceps","shallow benthic","benthopelagic","piscivore",2.577301,2.939933,3.4683,-0.3626327,1.1208829,0.05017943,0.7079819,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.12757716260425,1.1402586353501,4.226642486
"diplotaxodon limnothrissa","diplotaxodon","pelagic","non-piscivore",2.83841,2.929441,3.578327,-0.09103163,1.275957,-0.0835129,0.9795066,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.08034308713695,1.12504098270944,4.610639204
"diplotaxodon macrops","diplotaxodon","pelagic","non-piscivore",2.70805,2.833213,3.465736,-0.1251631,1.034534,-0.13360531,0.6627309,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.91761832156677,1.07076764016316,4.686414633
"diplotaxodon macrops","diplotaxodon","pelagic","non-piscivore",2.70805,2.833213,3.465736,-0.1251631,1.034534,-0.13360531,0.6627309,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.12773526948352,0.755058160302453,4.637518298
"genyochromis mento","mbuna","demersal","piscivore",2.624236,2.855768,3.440135,-0.2315319,1.129343,-0.07699213,0.7982236,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.13832104060271,0.760020960639105,4.542423126
"hemitilapia oxyrhynchus","shallow benthic","benthopelagic","non-piscivore",2.639057,2.839925,3.437826,-0.2008675,0.9191192,-0.3031835,0.5739039,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.57201873814599,0.944691091786622,4.428971049
"iodotropheus sprengerae","mbuna","demersal","non-piscivore",2.639057,2.784367,3.407651,-0.1453097,1.015555,-0.2433572,0.6871375,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.21922358419717,1.16914020756138,3.762373845
"lethrinops albus","deep benthic","demersal","non-piscivore",2.564949,2.861793,3.417592,-0.2968432,0.9500066,-0.1407839,0.6718004,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.79912370399609,0.587299715248095,4.705978858
"lethrinops auritus","deep benthic","demersal","non-piscivore",2.564949,2.890372,3.433987,-0.3254224,0.8207588,-0.3042449,0.5059744,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.00871608060979,1.10151343646948,4.095911667
"lethrinops gossei","deep benthic","demersal","non-piscivore",2.639057,2.890372,3.465736,-0.2513144,0.7655862,-0.3575407,0.4136371,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.94640664571022,0.665984926841304,4.632796053
"maylandia zebra","mbuna","demersal","non-piscivore",2.678482,2.758479,3.412749,-0.07999765,0.9718246,-0.2835578,0.6438962,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",NA,NA,4.196488912
"nimbochromis linni","shallow benthic","demersal","piscivore",2.62053,2.890372,3.457799,-0.2698414,1.101638,0.000658517,0.7185553,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.29366727930855,0.830151968653731,4.729829084
"nimbochromis livingstonii","shallow benthic","demersal","piscivore",2.602003,2.868937,3.437956,-0.266934,0.975765,-0.2056459,0.6137326,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.93529057047717,0.660257480829293,4.944672826
"otopharynx speciosus","shallow benthic","demersal","piscivore",2.639057,2.922812,3.484199,-0.2837548,1.0384188,-0.10194202,0.6662129,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.4974943556442,0.403793281814521,5.280053595
"otopharynx tetrastigma","shallow benthic","demersal","non-piscivore",2.511588,2.833213,3.378596,-0.3216258,0.8789561,-0.1907574,0.4971013,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.5340448776358,0.929816791937783,4.340411357
"pallidochromis tokolosh","diplotaxodon","pelagic","piscivore",2.649704,2.978635,3.521385,-0.3289309,1.216419,0.140489,0.8126109,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.77319800431607,1.02000116845377,4.906968159
"petrotilapia genalutea","mbuna","demersal","non-piscivore",2.70805,2.772589,3.433987,-0.06453852,0.9351713,-0.3991636,0.6402659,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.43665330254857,0.890625500488347,4.592928562
"placidochromis johnstoni","shallow benthic","benthopelagic","non-piscivore",2.564949,2.890372,3.433987,-0.3254224,1.0543525,-0.1367875,0.7028856,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.84293769251492,0.611360870473721,4.800306778
"placidochromis milomo","shallow benthic","benthopelagic","non-piscivore",2.609414,2.808963,3.407755,-0.1995494,0.8661248,-0.1487936,0.4355608,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.19100410591132,0.784359934601222,4.82461089
