species_name,ecomorphology,depth_preference,piscivore,precaudal_count,caudal_count,total_count,ln_pc_ln_c,ln_length_ln_width,ln_ant_length_ln_width,ln_post_length_ln_width
Alticorpus macrocleithrum,deep benthic,pelagic,non-piscivore,2.484907,2.926417,3.423057,-0.4415099,0.8887433,-0.1580752,0.4896372
Astatotilapia calliptera,astatotilapia,benthopelagic,non-piscivore,2.565625,2.815003,3.391582,-0.2493781,1.03084,-0.149688,0.678754
Astatotilapia gigliolii,astatotilapia,benthopelagic,non-piscivore,2.564949,2.772589,3.367296,-0.2076394,1.04275,-0.1888386,0.7082013
Astatotilapia sp Ruaha Blue,astatotilapia,benthopelagic,non-piscivore,NA,NA,NA,NA,NA,NA,NA
Chindongo elongatus,mbuna,demersal,non-piscivore,2.70805,2.833213,3.465736,-0.1251631,1.1416424,-0.1284728,0.8183028
Copadichromis likomae,utaka,benthopelagic,non-piscivore,2.770632,2.888826,3.526361,-0.1181944,0.9094331,-0.3508948,0.5808135
Copadichromis quadrimaculatus,utaka,benthopelagic,non-piscivore,2.716118,2.882841,3.496393,-0.166723,0.9647508,-0.3529342,0.6448967
Copadichromis trimaculatus,utaka,benthopelagic,non-piscivore,2.679562,2.87894,3.478045,-0.1993779,0.9885663,-0.2385234,0.639701
Copadichromis virginalis,utaka,benthopelagic,non-piscivore,2.662055,2.833213,3.44457,-0.1711584,1.0401399,-0.27062,0.6633088
Dimidiochromis compressiceps,shallow benthic,benthopelagic,piscivore,2.577301,2.939933,3.4683,-0.3626327,1.1208829,0.05017943,0.7079819
Diplotaxodon limnothrissa,diplotaxodon,pelagic,non-piscivore,2.83841,2.929441,3.578327,-0.09103163,1.275957,-0.0835129,0.9795066
Diplotaxodon macrops,diplotaxodon,pelagic,non-piscivore,2.70805,2.833213,3.465736,-0.1251631,1.034534,-0.13360531,0.6627309
Genyochromis mento,mbuna,demersal,piscivore,2.624236,2.855768,3.440135,-0.2315319,1.129343,-0.07699213,0.7982236
Hemitilapia oxyrhynchus,shallow benthic,benthopelagic,non-piscivore,2.639057,2.839925,3.437826,-0.2008675,0.9191192,-0.3031835,0.5739039
Iodotropheus sprengerae,mbuna,demersal,non-piscivore,2.639057,2.784367,3.407651,-0.1453097,1.015555,-0.2433572,0.6871375
Lethrinops albus,deep benthic,demersal,non-piscivore,2.564949,2.861793,3.417592,-0.2968432,0.9500066,-0.1407839,0.6718004
Lethrinops auritus,deep benthic,demersal,non-piscivore,2.564949,2.890372,3.433987,-0.3254224,0.8207588,-0.3042449,0.5059744
Lethrinops gossei,deep benthic,demersal,non-piscivore,2.639057,2.890372,3.465736,-0.2513144,0.7655862,-0.3575407,0.4136371
Maylandia zebra,mbuna,demersal,non-piscivore,2.678482,2.758479,3.412749,-0.07999765,0.9718246,-0.2835578,0.6438962
Nimbochromis linni,shallow benthic,demersal,piscivore,2.62053,2.890372,3.457799,-0.2698414,1.101638,0.000658517,0.7185553
Nimbochromis livingstonii,shallow benthic,demersal,piscivore,2.602003,2.868937,3.437956,-0.266934,0.975765,-0.2056459,0.6137326
Otopharynx speciosus,shallow benthic,demersal,piscivore,2.639057,2.922812,3.484199,-0.2837548,1.0384188,-0.10194202,0.6662129
Otopharynx tetrastigma,shallow benthic,demersal,non-piscivore,2.511588,2.833213,3.378596,-0.3216258,0.8789561,-0.1907574,0.4971013
Pallidochromis tokolosh,diplotaxodon,pelagic,piscivore,2.649704,2.978635,3.521385,-0.3289309,1.216419,0.140489,0.8126109
Petrotilapia genalutea,mbuna,demersal,non-piscivore,2.70805,2.772589,3.433987,-0.06453852,0.9351713,-0.3991636,0.6402659
Placidochromis johnstoni,shallow benthic,benthopelagic,non-piscivore,2.564949,2.890372,3.433987,-0.3254224,1.0543525,-0.1367875,0.7028856
Placidochromis milomo,shallow benthic,benthopelagic,non-piscivore,2.609414,2.808963,3.407755,-0.1995494,0.8661248,-0.1487936,0.4355608
Rhamphochromis esox,rhamphochromis,pelagic,piscivore,2.864625,3.027755,3.642981,-0.16313,1.50993,0.3552999,1.134107
Rhamphochromis longiceps,rhamphochromis,pelagic,piscivore,2.843714,2.956429,3.595412,-0.1127154,1.423595,0.2176069,1.073844
Rhamphochromis woodi,rhamphochromis,pelagic,piscivore,2.796056,2.995232,3.594479,-0.1991759,1.3289283,0.2183318,0.9324498
Trematocranus placodon,shallow benthic,demersal,non-piscivore,2.564949,2.876082,3.42579,-0.3111328,0.8350443,-0.3563582,0.5048886
Tropheops tropheops,mbuna,demersal,non-piscivore,2.692224,2.792412,3.437399,-0.1001883,0.9617198,-0.2678083,0.6459086
Rhamphochromis ferox,rhamphochromis,pelagic,piscivore,2.833213,2.995732,3.610918,-0.1625189,1.442085,0.3189677,1.047963
Chilotilapia rhoadesii,shallow benthic,benthopelagic,non-piscivore,2.594593,2.867508,3.433987,-0.2729158,0.8064611,-0.46312,0.4799877
Cheilochromis euchilus,shallow benthic,benthopelagic,non-piscivore,2.564949,2.852266,3.412127,-0.2873168,0.910585,-0.169343,0.4979772
Diplotaxodon aeneus,diplotaxodon,pelagic,non-piscivore,2.690802,2.889599,3.488585,-0.198797,0.9979125,-0.1410832,0.6154987
Cynotilapia afra,mbuna,demersal,non-piscivore,2.639057,2.833213,3.433987,-0.194156,1.097446,-0.2591646,0.8119721
Diplotaxodon argenteus,diplotaxodon,pelagic,piscivore,2.80448,2.915815,3.554964,-0.1113349,1.193263,-0.05362609,0.8533465
Tyrannochromis macrostoma,shallow benthic,demersal,piscivore,2.583476,2.930922,3.465736,-0.3474458,1.135759,0.08376243,0.7178704
Mylochromis anaphyrmus,shallow benthic,demersal,non-piscivore,2.564949,2.917405,3.449862,-0.352456,0.9854308,-0.110963,0.5929791
Tramitichromis brevis,deep benthic,demersal,non-piscivore,2.63905733,2.833213344,3.433987204,-0.194156014,0.870073168,-0.248458214,0.501317473
Aulonocara nyassae,deep benthic,benthopelagic,non-piscivore,2.564949357,2.890371758,3.433987204,-0.3254224,0.983144469,-0.100425851,0.583661291
Stigmatochromis macrorhynchos,shallow benthic,benthopelagic,piscivore,2.564949357,2.890371758,3.433987204,-0.3254224,1.189960723,0.071350984,0.800445761
Copadichromis chrysonotus,utaka,benthopelagic,non-piscivore,2.640449,2.832842,3.434644,-0.1923931,0.9857177,-0.228207,0.6354644
Protomelas spilopterus,shallow benthic,benthopelagic,piscivore,2.564949,2.833213,3.401197,-0.268264,0.9151426,-0.3061729,0.5694817
Otopharynx lithobates,shallow benthic,demersal,non-piscivore,2.609414,2.867508,3.440337,-0.2580943,1.087855,-0.000857573,0.69369
Placidochromis electra,shallow benthic,benthopelagic,non-piscivore,2.639057,2.890372,3.465736,-0.2513144,0.9535882,-0.2606905,0.6594151
Nimbochromis polystigma,shallow benthic,demersal,piscivore,2.607297,2.85771,3.433987,-0.250413,0.9765792,-0.1810524,0.6090779
